# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;rosto risonho;lol|rindo|risada|rosto|rosto risonho
😃;rosto risonho com olhos bem abertos;aberto|boca|rosto|rosto risonho com olhos bem abertos|sorriso
😄;rosto risonho com olhos sorridentes;aberta|boca|olhos|rosto|rosto risonho com olhos sorridentes|sorriso
😁;rosto contente com olhos sorridentes;olho|rosto|rosto contente com olhos sorridentes|rosto rindo com olhos sorridentes|sorriso|sorriso aberto
😆;rosto risonho com olhos semicerrados;gargalhada|olhos fechados|rosto|rosto risonho com olhos semicerrados|sorriso com olhos fechados
😅;rosto risonho com gota de suor;rosto|rosto risonho com gota de suor|sorriso com suor frio|suor frio
🤣;rolando no chão de rir;chão|gargalhada|rolando|rolando no chão de rir|rosto
😂;rosto chorando de rir;alegria|lágrimas|rosto|rosto chorando de rir|rosto com lágrimas de alegria
🙂;rosto levemente sorridente;rosto|rosto levemente sorridente|sorriso
🙃;rosto de cabeça para baixo;rosto de cabeça para baixo|rosto invertido
🫠;rosto derretendo;derreter|desaparecer|dissolver|líquido|rosto derretendo
😉;rosto com olho piscando;piscada|rosto|rosto com olho piscando
😊;rosto sorridente com olhos sorridentes;olhos sorrindo|rosto|rosto sorridente com olhos sorridentes|rosto sorrindo|ruborizar
😇;rosto sorridente com auréola;anjo|auréola|inocente|rosto|rosto sorridente com auréola
🥰;rosto sorridente com 3 corações;amor|apaixonado|paixão|rosto sorridente com 3 corações
😍;rosto sorridente com olhos de coração;amor|coração|olhos|olhos de coração|rosto|rosto sorridente com olhos de coração
🤩;rosto com olhar maravilhado;estrela|gargalhando|olhos|rosto|rosto com olhar maravilhado
😘;rosto mandando um beijo;beijo|rosto|rosto mandando um beijo
😗;rosto beijando;beijo|rosto|rosto beijando
☺️;rosto sorridente;rosto|sorridente|sorriso
😚;rosto beijando com olhos fechados;beijando com os olhos fechados|olhos fechados|rosto|rosto beijando com olhos fechados
😙;rosto beijando com olhos sorridentes;olhos sorrindo|rosto|rosto beijando com olhos sorridentes|rosto beijando com um sorriso|sorriso
🥲;rosto sorridente com lágrima;aliviado|emocionado|grato|lágrima|orgulhoso|rosto sorridente com lágrima|sorrindo
😋;rosto saboreando comida;delicioso|gostoso|nham|rosto|rosto saboreando comida|sorriso
😛;rosto mostrando a língua;rosto|rosto com língua para fora|rosto mostrando a língua
😜;rosto piscando e com língua para fora;brincadeira|língua para fora com piscadela|piscadela|provocação|rosto|rosto piscando e com língua para fora
🤪;rosto bizarro;excêntrico|grande|olho|pequeno|rosto bizarro
😝;rosto com olhos semicerrados e língua para fora;horrível|língua para fora|língua para fora com os olhos fechados|olhos fechados|rosto|rosto com olhos semicerrados e língua para fora
🤑;rosto com cifrões;cifrão|dinheiro|dinheiro na boca|rico|riqueza|rosto|rosto com cifrões
🤗;rosto abraçando;abraço|mãos abraçando|rosto|rosto abraçando
🤭;rosto com a mão sobre a boca;ops|rosto com a mão sobre a boca
🫢;rosto com olhos abertos e mão sobre a boca;assustado|descrença|embaraçar|espanto|rosto com olhos abertos e mão sobre a boca|surpresa|temor
🫣;rosto com olho espiando;cativado|espiar|olhar fixamente|rosto com olho espiando
🤫;rosto fazendo sinal de silêncio;quieto|rosto fazendo sinal de silêncio|silêncio
🤔;rosto pensativo;mão no queixo|pensando|rosto|rosto pensativo
🫡;rosto saudando;ensolarado|ok|rosto saudando|saudação|sim|tropas
🤐;rosto com boca de zíper;rosto|rosto com boca de zíper|zíper
🤨;rosto com sobrancelha levantada;cético|desconfiança|rosto com sobrancelha levantada
😐;rosto neutro;neutro|rosto|sem comentários|sem emoção
😑;rosto inexpressivo;rosto|rosto inexpressivo|sem expressão
😶;rosto sem boca;calado|quieto|rosto|rosto sem boca|sem boca
🫥;rosto com linha pontilhada;deprimido|desaparecer|esconder|introvertido|invisível|rosto com linha pontilhada
😶‍🌫️;rosto nas nuvens;cabeça nas nuvens|distraído|rosto nas nuvens|rosto no nevoeiro
😏;rosto com sorriso maroto;rosto|rosto com sorriso maroto|sorriso malicioso|sorriso maroto
😒;rosto aborrecido;blasé|rosto|rosto aborrecido|rosto de quem não achou graça
🙄;rosto com olhos revirados;olhos|revirando os olhos|rosto|rosto com olhos revirados
😬;rosto expressando desagrado;fazendo careta|rosto|rosto expressando desagrado|rosto fazendo careta
😮‍💨;rosto exalando;alívio|assobio|assovio|choque|exalar|rosto exalando
🤥;rosto de mentiroso;mentindo|mentira|mentiroso|pinóquio|rosto de mentiroso
🫨;rosto tremendo;choque|rosto|terremoto|tremendo|vibração
🙂‍↔️;cabeça virando de um lado para o outro;balançar|cabeça balançando na horizontal|cabeça virando de um lado para o outro|não|negar
🙂‍↕️;cabeça balançando na vertical;cabeça balançando na vertical|confirmação|sim
😌;rosto aliviado;alívio|rosto|rosto aliviado
😔;rosto deprimido;deprimido|desanimado|rosto
😪;rosto sonolento;rosto|rosto com sono|rosto sonolento
🤤;rosto babando;babando|babar|rosto babando
😴;rosto dormindo;rosto|rosto dormindo|sono|zzz
😷;rosto com máscara médica;doente|gripado|máscara|máscara médica|resfriado|rosto|rosto com máscara médica
🤒;rosto com termômetro;de cama|febre|febril|rosto|rosto com termômetro|termômetro
🤕;rosto com atadura na cabeça;acidentado|ferimento|rosto|rosto com atadura na cabeça|rosto com curativos|rosto machucado
🤢;rosto nauseado;enjoado|enjoo|rosto nauseado|vômito
🤮;rosto vomitando;doente|rosto vomitando|vômito
🤧;rosto espirrando;espirrando|espirro|rosto espirrando
🥵;rosto fervendo de calor;febril|insolação|quente|rosto fervendo de calor|rosto vermelho|suando
🥶;rosto gelado;congelando|frio|gélido|glacial|rosto azul de frio|rosto gelado
🥴;rosto embriagado;bêbado|boca ondulada|embriagado|intoxicado|olhos tortos|rosto embriagado
😵;rosto atordoado;rosto|rosto atordoado
😵‍💫;rosto com olhos em espiral;espirais|hipnotizado|problema|rosto com olhos em espiral|tontura|uau
🤯;cabeça explodindo;cabeça explodindo|chocado
🤠;rosto com chapéu de caubói;caubói|rosto|rosto com chapéu de caubói
🥳;rosto festivo;apito|chapéu|comemoração|festa|rosto festivo
🥸;rosto disfarçado;disfarce|incógnito|nariz|óculos|rosto|rosto disfarçado
😎;rosto sorridente com óculos escuros;óculos escuros|rosto|rosto sorridente com óculos escuros|sol|sorrindo|sorrindo de óculos escuros
🤓;rosto de nerd;cdf|estudioso|nerd|rosto de nerd|sabe-tudo
🧐;rosto com monóculo;conservador|rosto com monóculo
😕;rosto confuso;confuso|indeciso|rosto
🫤;rosto com boca diagonal;cético|desapontado|inseguro|meh|rosto com boca diagonal
😟;rosto preocupado;rosto|rosto preocupado
🙁;rosto meio triste;rosto|rosto meio triste|tristinho
☹️;rosto descontente;descontente|rosto|rosto de desaprovação|triste
😮;rosto com boca aberta;boca|boca aberta|empatia|rosto|rosto com boca aberta
😯;rosto surpreso;espantado|rosto|surpreso
😲;rosto espantado;chocado|estupefato|rosto|rosto espantado|totalmente chocado
😳;rosto ruborizado;atordoado|rosto|rosto ruborizado
🥺;rosto implorando;implorando|olhar de cachorrinho|perdão|rosto implorando
🥹;rosto segurando as lágrimas;chorar|com raiva|orgulhoso|resistir|rosto segurando as lágrimas|triste
😦;rosto franzido com boca aberta;aberta|boca|rosto assustado|rosto franzido com boca aberta
😧;rosto angustiado;rosto|rosto angustiado|sofrendo
😨;rosto amedrontado;assustado|rosto|rosto amedrontado
😰;rosto ansioso com gota de suor;boca aberta|rosto|rosto ansioso com gota de suor|rosto azul com suor frio|suor frio
😥;rosto triste, mas aliviado;aliviado|decepcionado|mas aliviado|rosto|rosto triste|rosto triste, mas aliviado|ufa
😢;rosto chorando;lágrimas|rosto|rosto chorando|triste
😭;rosto chorando aos berros;chorando|chorar|lágrimas|rosto|rosto chorando aos berros
